osm_id,name,golf_n_base,golf_sd_base,golf_n_elnino,golf_sd_elnino,golf_n_latest,golf_sd_latest,ring_n_base,ring_sd_base,ring_n_elnino,ring_sd_elnino,ring_n_latest,ring_sd_latest
30783169,Cattle Creek,44.5309,0.1067,10.3916,0.086,9.8609,0.0776,40.9275,0.1297,10.2255,0.0989,9.3901,0.0576
17944530,Club Intramuros Golf Course,34.961,0.1109,7.3957,0.0873,9.723,0.0792,34.8793,0.0777,7.2205,0.0662,9.9821,0.053
542005767,Iligan City Golf Course,46.3393,0.0946,9.0213,0.084,12.0312,0.0687,44.6797,0.105,9.2059,0.0724,11.9121,0.0685
184128526,Camp Evangelista Golf Club,56.365,0.1561,15.8921,0.0679,15.5396,0.0867,56.1685,0.0928,15.2438,0.0598,15.7187,0.0716
146996117,,140.74,0.113,29.9985,0.0668,33.6626,0.0565,139.9002,0.121,29.9735,0.0679,33.4076,0.0686
1498101159,Haciendas de Naga,47.2275,0.1025,9.4489,0.1235,8.9884,0.0848,47.7751,0.1159,9.3663,0.094,9.7596,0.0877
664750028,San Antonio Golf Course,47.7503,0.1103,13.8172,0.1063,10.4888,0.0703,46.9172,0.1296,13.9204,0.1082,10.5741,0.0752
14143603,Baguio Country Club Golf Course,213.4894,0.0863,50.9176,0.0644,52.4305,0.072,213.0853,0.0921,50.1786,0.0774,51.2305,0.0742
107092431,,149.2574,0.0916,34,0.0686,39.9538,0.0554,147.2285,0.1027,34,0.0764,39.5501,0.0688
27832178,Philippine Army Golf Club,50.5635,0.1072,13.4346,0.0737,13.4491,0.1113,50.3604,0.0984,12.9887,0.0552,13.0145,0.075
32750230,,58.0859,0.0882,16.71,0.0885,21.6298,0.0614,54.7488,0.0963,18.1588,0.0783,21.929,0.0593
32750176,,56.6239,0.0856,16.897,0.0771,22.4276,0.0608,55.8078,0.0971,16.4292,0.0788,21.8821,0.0471
537391355,Punta Fuego Golf Club,95.1872,0.0797,22.2567,0.0561,20.9598,0.0573,94.2361,0.1091,22.7772,0.0851,21.5157,0.0807
318352365,Basa Air Base Golf Course,108.8398,0.1122,23.5214,0.064,25.4337,0.0841,108.0774,0.1058,22.7624,0.0704,24.1919,0.0811
1350772044,Perfect Star Golf Course,38.972,0.1024,11.6457,0.0747,10.5503,0.0659,39.6445,0.0884,11.2783,0.0671,10.558,0.0676
16312972,Illana Bay Golf & Country Club,49.1169,0.0995,10.3366,0.0482,11.5028,0.0566,47.8963,0.0857,10.5133,0.0512,11.6925,0.0491
683035062,West Highlands Golf Course,39.553,0.1052,8.6542,0.0449,8.4699,0.0453,38.7968,0.0911,9.0027,0.0417,8.1168,0.0379
273056776,Royale Tagaytay,38.9976,0.0963,9.0876,0.0634,13.3222,0.063,36.5365,0.1012,8.7922,0.0565,12.862,0.0528
281980715,,46.4923,0.1257,10.3283,0.0778,12.1725,0.0578,42.9089,0.1239,10.2637,0.0795,12.8463,0.0729
137911884,Basa Air Base Golf Course,113.7656,0.1151,23.3585,0.0654,25.4345,0.0898,110.4087,0.0997,22.223,0.0619,23.6652,0.0667
264770929,Olot Golf Course,42.9192,0.0866,14.953,0.0832,12.7263,0.1208,42.7499,0.1046,14.9564,0.0761,12.5163,0.0899
80393802,The Cliff Golf Course,156.6279,0.1135,36,0.0572,36,0.051,155.1868,0.0994,35.9997,0.0886,36.0059,0.0678
246644550,,84.1291,0.1064,28.73,0.0703,29.947,0.0944,83.2112,0.1446,28.8537,0.0832,29.3106,0.103
121047040,,93.702,0.1201,20.125,0.0659,22.6851,0.0808,93.5422,0.077,19.2526,0.0449,21.8909,0.0517
1568934,Caliraya Spring Golf & Country Club,24.3448,0.1039,9.1785,0.0655,7.2327,0.1112,24.4882,0.1049,8.2909,0.0547,7.762,0.0713
20507414,Lepanto Mines Golf Course,145.2433,0.109,36,0.0785,34,0.0731,144.3548,0.112,35.8196,0.0671,33.5332,0.0825
109833384,,23.2362,0.0828,6.8729,0.0589,7.4177,0.1097,23.3404,0.102,8.0298,0.0518,7.8371,0.0683
32750324,,53.8566,0.0913,18.2246,0.0725,23.7522,0.0612,56.7712,0.0974,17.9192,0.0763,22.6137,0.0575
213709056,,52.7229,0.1469,12.9998,0.1182,13.4688,0.1143,48.3916,0.1237,13.2587,0.0967,13.1174,0.0733
32759572,,53.0216,0.0902,21.3221,0.0784,23.3233,0.0584,55.3948,0.0926,18.2268,0.0681,22.7075,0.0485
17908468,,33.8171,0.1065,6.4672,0.0705,10.4891,0.0848,34.3973,0.0784,6.2363,0.066,10.9283,0.0622
175010424,Hampas Lupa Golf Driving Range,35.4212,0.1151,10.5173,0.1326,9.5772,0.1006,38.1917,0.1103,9.4908,0.0831,11.2419,0.0749
703800716,,90.1936,0.0784,18.4246,0.0839,21.7421,0.0734,83.0949,0.1054,17.7715,0.0804,21.0779,0.0807
184362383,Camp Aguinaldo Golf Course,38.3557,0.1245,8.7312,0.0979,7.4646,0.0644,36.2972,0.0815,9.6478,0.0662,6.9547,0.0531
160903445,LLCI,30.1758,0.1226,10.4506,0.0938,6.0005,0.081,27.9705,0.0851,10.6635,0.0655,5.8232,0.0505
1105103473,Davao Eaglemasters Golf Driving Range,36.1499,0.1193,9.9854,0.1429,9.6875,0.0866,37.7937,0.1288,9.0831,0.1176,10.8087,0.0871
184362384,Camp Aguinaldo Golf Course,35.7269,0.1216,10.0435,0.1038,7.2862,0.0666,36.4088,0.0889,8.9197,0.0726,7.0513,0.0557
16751280,Laguna Bel Air Mini Golf Course,54.1644,0.1054,10.4169,0.0538,16.2793,0.0931,52.072,0.095,11.5392,0.0648,16.2765,0.0619
703800717,,88.0573,0.0768,17.1029,0.0554,21.9388,0.0824,82.4458,0.1034,17.0068,0.0783,20.9791,0.0763
35213090,Las Piñas Driving Range,112.3213,0.1528,31.9921,0.0707,31.1178,0.1074,113.5057,0.0737,30.9939,0.0465,29.8578,0.0487
7588874,Driving range,35.6982,0.1404,7.2908,0.0553,14.8235,0.1028,36.2337,0.1193,7.3432,0.0634,15.02,0.0737
1209424422,,80.54,0.094,20,0.0311,16,0.0422,68.9541,0.0808,19.2212,0.0444,12.8616,0.0378
66703198,EG Golf & Driving Range,96.3312,0.1271,16.1953,0.0546,17.0026,0.0207,93.1908,0.0984,15.4246,0.0584,16.3979,0.0584
142839733,Iloilo Golf Driving Range,41.1518,0.1272,16.6397,0.0617,8,0.1227,39.4345,0.1017,15.4418,0.0561,7.7762,0.0887
60121152,City Golf,34.5334,0.1122,11.3364,0.0342,10.7044,0.0819,37.1297,0.0824,11.5054,0.0567,10.7437,0.061
1468599051,,127,0.1462,30,0.0443,32.6908,0.0747,126.0975,0.1017,30.1348,0.061,32.1971,0.0834
150835617,"Driving Range, fenced",153.372,0.118,35.3686,0.0654,34,0.0447,153.4289,0.0866,35.5429,0.0629,33.8751,0.0504
702047132,,84.4969,0.0719,16.8742,0.0371,24,0.0537,81.698,0.0968,16.724,0.0957,20.3659,0.0806
1468599052,,127,0.1258,30,0.0583,33,0.0985,126.0834,0.0995,30.0328,0.0588,32.3427,0.085
1241013713,,55,0.1675,16,0.0501,13,0.102,53.7099,0.0849,15.6467,0.0731,11.6846,0.0438
1455691384,,28.9478,0.1081,9.0416,0.0495,7,0.0923,31.9286,0.1503,9.5273,0.0675,7.2119,0.0799
1116950585,Pitch & Putt,99.7156,0.0915,26,0.0913,26,0.0739,101.9584,0.1215,25.9998,0.1036,26.5949,0.08
32775560,,42.8608,0.0992,12,0.091,7.9702,0.067,42.9365,0.0875,10.887,0.0637,7.1649,0.0662
1468599053,,124.7057,0.1044,30,0.0271,32,0.0434,126.1293,0.0946,30.8922,0.0609,32.298,0.0754
1468599054,,123.1155,0.1223,30.4417,0.0531,32,0.0614,127.1114,0.0963,30.9353,0.0557,32.176,0.0736
