osm_id,name,ring_grass_frac,golf_grass_base,golf_grass_elnino,golf_grass_latest,ring_grass_base,ring_grass_elnino,ring_grass_latest,matched_gap_base,matched_gap_elnino,matched_gap_latest,matched_signal,matched_signal_2026
184128526,Camp Evangelista Golf Club,0.0731,0.4732,0.3533,0.6655,0.4736,0.4428,0.5794,-0.0004,-0.0894,0.086,-0.0891,0.0864
146996117,,0.2137,0.4019,0.4538,0.3962,0.3942,0.3935,0.3912,0.0076,0.0603,0.005,0.0526,-0.0026
1498101159,Haciendas de Naga,0.2932,0.6187,0.5019,0.6223,0.6665,0.5639,0.5918,-0.0478,-0.062,0.0305,-0.0142,0.0783
664750028,San Antonio Golf Course,0.1122,0.6317,0.5847,0.7317,0.5201,0.4954,0.6309,0.1115,0.0893,0.1009,-0.0223,-0.0107
14143603,Baguio Country Club Golf Course,0.0166,0.636,0.6505,0.6158,0.4641,0.391,0.4779,0.1719,0.2595,0.1379,0.0876,-0.034
107092431,,0.1376,0.3486,0.3143,0.3294,0.2369,0.2354,0.2473,0.1116,0.0789,0.082,-0.0327,-0.0296
27832178,Philippine Army Golf Club,0.054,0.5667,0.634,0.588,0.4796,0.396,0.4373,0.0871,0.238,0.1507,0.1509,0.0636
32750230,,0.1229,0.6439,0.6404,0.598,0.5796,0.6062,0.6235,0.0643,0.0342,-0.0255,-0.0301,-0.0898
32750176,,0.155,0.6455,0.6324,0.6073,0.5753,0.6141,0.6265,0.0702,0.0183,-0.0192,-0.0519,-0.0894
537391355,Punta Fuego Golf Club,0.0088,0.4487,0.4705,0.4781,0.357,0.3354,0.3634,0.0917,0.1351,0.1147,0.0434,0.023
318352365,Basa Air Base Golf Course,0.2305,0.3917,0.3655,0.3617,0.3243,0.3393,0.3074,0.0674,0.0262,0.0543,-0.0412,-0.013
1350772044,Perfect Star Golf Course,0.1268,0.5444,0.5528,0.577,0.5714,0.5097,0.5455,-0.027,0.0431,0.0315,0.0701,0.0585
16312972,Illana Bay Golf & Country Club,0.0088,0.7078,0.7155,0.7775,0.6001,0.6163,0.6706,0.1077,0.0991,0.1069,-0.0086,-0.0009
683035062,West Highlands Golf Course,0.086,0.6741,0.7256,0.7263,0.5393,0.6132,0.5578,0.1347,0.1124,0.1684,-0.0223,0.0337
273056776,Royale Tagaytay,0.2075,0.6565,0.5933,0.6122,0.5914,0.5321,0.5366,0.0651,0.0612,0.0756,-0.0039,0.0105
281980715,,0.2128,0.3796,0.1784,0.4818,0.4578,0.4639,0.4502,-0.0782,-0.2856,0.0316,-0.2074,0.1098
137911884,Basa Air Base Golf Course,0.3712,0.3747,0.3655,0.3648,0.3474,0.3767,0.3367,0.0272,-0.0111,0.0281,-0.0384,0.0009
264770929,Olot Golf Course,0.0476,0.7656,0.6646,0.6464,0.6868,0.656,0.6126,0.0788,0.0085,0.0337,-0.0703,-0.0451
80393802,The Cliff Golf Course,0.0487,0.4187,0.3726,0.4044,0.1884,0.1981,0.2307,0.2303,0.1744,0.1736,-0.0558,-0.0566
246644550,,0.1301,0.5245,0.5046,0.5055,0.5071,0.4555,0.4939,0.0174,0.0492,0.0115,0.0318,-0.0059
121047040,,0.0293,0.4462,0.4071,0.3232,0.35,0.3222,0.3104,0.0963,0.0849,0.0129,-0.0114,-0.0834
1568934,Caliraya Spring Golf & Country Club,0.4898,0.6061,0.6942,0.4762,0.4565,0.5505,0.4904,0.1496,0.1437,-0.0143,-0.0058,-0.1638
20507414,Lepanto Mines Golf Course,0.1516,0.4677,0.4626,0.4825,0.5764,0.5417,0.5693,-0.1087,-0.0791,-0.0868,0.0296,0.022
109833384,,0.4836,0.7053,0.756,0.5494,0.4595,0.5516,0.4924,0.2458,0.2043,0.057,-0.0415,-0.1888
32750324,,0.1154,0.6429,0.6587,0.6498,0.5401,0.563,0.5655,0.1028,0.0957,0.0843,-0.0072,-0.0185
213709056,,0.2103,0.3883,0.3691,0.4897,0.4042,0.3757,0.4813,-0.0159,-0.0066,0.0084,0.0093,0.0244
